name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,board,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID,Custom,Voucher,Artist
"Golgari Guildgate",0,"Land - Gate",,"fdn","689",common,null,Not Owned,Non-foil,mainboard,false,,,"","",134714,false,false,"Eytan Zana"
"The Dominion Bracelet",2,"Legendary Artifact - Equipment",,"eoe","239",mythic,null,Owned,Foil,mainboard,false,,,"💣 Bomb, activated-ability, egg, exile-self, power-matters, turn-control","",143091,false,false,"Nathaniel Himawan"
"Bre of Clan Stoutarm",4,"Legendary Creature - Giant Warrior",RW,"ecl","207",rare,null,Owned,Non-foil,mainboard,false,,,"💣 Bomb, activated-ability, cast-on-resolution, consult-cast, free-cast-another, gives-castable-from-exile, gives-flying, gives-lifelink, infusion, intervening-if-clause, repeatable-card-advantage, repeatable-lifegain, unnoted-tracked-information","",146807,false,false,"Jesper Ejsing"
"Trudge Garden",3,"Enchantment",G,"c21","69",rare,null,Owned,Non-foil,mainboard,false,,,"💣 Bomb, lifegain-matters, mana-sink, repeatable-creature-tokens, triggered-ability","",89881,false,false,"Adam Paquette"
"Mind Flayer",5,"Creature - Horror",U,"afr","308",rare,null,Owned,Non-foil,mainboard,false,,,"💣 Bomb, dnd-monster, theft-creature, triggered-ability","",-1,false,false,"Justine Jones"
"Thundering Raiju",4,"Creature - Spirit",R,"neo","166",rare,null,Owned,Non-foil,mainboard,false,,,"💣 Bomb, attack-trigger, attacking-matters-self, burn-player, gives-pp-counters, group-slug, repeatable-pp-counters, synergy-modified","",97266,false,false,"Xavier Ribeiro"
"Sigil of the Empty Throne",5,"Enchantment",W,"con","18",rare,null,Owned,Non-foil,mainboard,false,,,"💣 Bomb, cast-trigger-you, evasion, repeatable-creature-tokens, synergy-enchantment","",31797,false,false,"Cyril Van Der Haegen"
"Leonin Vanguard",1,"Creature - Cat Soldier",W,"m19","22",uncommon,null,Owned,Non-foil,mainboard,false,,,"💣 Bomb, creature-count-matters, intervening-if-clause, repeatable-lifegain","",68205,false,false,"Aaron Miller"
"Carnophage",1,"Creature - Zombie",B,"exo","53",common,null,Owned,Non-foil,mainboard,false,,,"💣 Bomb, drawback, life-payment, triggered-ability, upkeep-cost","",10655,false,false,"Pete Venters"
"Dreadhorde Invasion",2,"Enchantment",B,"war","86",rare,null,Owned,Non-foil,mainboard,false,,,"💣 Bomb, attack-trigger, deal-with-the-devil, gives-lifelink, gives-pp-counters, life-payment, power-matters, repeatable-creature-tokens, repeatable-lifegain, repeatable-pp-counters, synergy-token-creature, typal-army, typal-coupling, typal-zombie","",71778,false,false,"Stanton Feng"
"Immersturm Raider",2,"Creature - Demon Berserker",R,"khm","141",common,null,Owned,Non-foil,mainboard,false,,,"hand-negative, rummage, triggered-ability, virtual-vanilla","",87617,false,false,"Grzegorz Rutkowski"
"Stormshriek Feral",5,"Creature - Dragon",R,"tdm","124",common,null,Owned,Non-foil,mainboard,false,,,"activated-ability, bottomless-mana-sink, cheaper-than-mv, cycle-tdm-c-omen, evasion, firebreathing, hand-neutral, staple-with-set-s-mechanic, tormenting-voice, tuck-self","",139201,false,false,"Joshua Raphael"
"Laughing Mad",3,"Instant",R,"fin","143",common,null,Owned,Non-foil,mainboard,false,,,"castable-from-graveyard, exile-self, hand-neutral, hand-positive, more-expensive-than-mv, tormenting-voice","",141223,false,false,"RARE ENGINE"
"Thrill of Possibility",2,"Instant",R,"eld","146",common,null,Owned,Non-foil,mainboard,false,,,"hand-neutral, tormenting-voice","",78422,false,false,"Steve Argyle"
"Cathartic Reunion",2,"Sorcery",R,"kld","109",common,null,Owned,Non-foil,mainboard,false,,,"hand-neutral, rummage","",61699,false,false,"Howard Lyon"
"Demand Answers",2,"Instant",R,"mkm","122",common,null,Owned,Non-foil,mainboard,false,,,"hand-neutral, hand-positive, plunder, sacrifice-outlet-artifact, synergy-artifact, tormenting-voice","",121722,false,false,"Justyna Dura"
"Yuyan Archers",2,"Creature - Human Archer",R,"tla","161",common,null,Owned,Non-foil,mainboard,false,,,"hand-negative, rummage, triggered-ability, virtual-french-vanilla","",144806,false,false,"Domco."
"Ancestral Anger",1,"Sorcery",R,"vow","142",common,null,Owned,Non-foil,mainboard,false,,,"alliteration, cantrip, cards-in-graveyard-matter, gives-trample, hand-neutral, scales-with-multiple, single-target-instant-sorcery","",94620,false,false,"Randy Vargas"
"Frontline War-Rager",3,"Creature - Kavu Soldier",R,"eoe","134",common,null,Owned,Non-foil,mainboard,false,,,"gains-pp-counters, intervening-if-clause, repeatable-pp-counters, synergy-tapped","",142881,false,false,"Jason Rainville"
"Frenzied Rage",2,"Enchantment - Aura",R,"dom","124",common,null,Owned,Non-foil,mainboard,false,,,"french-vanilla-aura, gives-menace","",67713,false,false,"Simon Dominic"
"Swaggering Corsair",3,"Creature - Human Pirate",R,"rix","119",common,null,Owned,Non-foil,mainboard,false,,,"gains-pp-counters, raid, virtual-vanilla","",66691,false,false,"Scott Murphy"
"Tilonalli's Crown",2,"Enchantment - Aura",R,"rix","120",common,null,Owned,Non-foil,mainboard,false,,,"burn-creature, gives-trample, namesake-spell, spot-removal, triggered-ability","",66693,false,false,"Suzanne Helmigh"
"Ancestral Anger",1,"Sorcery",R,"vow","142",common,null,Owned,Non-foil,mainboard,false,,,"alliteration, cantrip, cards-in-graveyard-matter, gives-trample, hand-neutral, scales-with-multiple, single-target-instant-sorcery","",94620,false,false,"Randy Vargas"
"Ancestral Anger",1,"Sorcery",R,"vow","142",common,null,Owned,Non-foil,mainboard,false,,,"alliteration, cantrip, cards-in-graveyard-matter, gives-trample, hand-neutral, scales-with-multiple, single-target-instant-sorcery","",94620,false,false,"Randy Vargas"
"Ancestral Anger",1,"Sorcery",R,"vow","142",common,null,Owned,Non-foil,mainboard,false,,,"alliteration, cantrip, cards-in-graveyard-matter, gives-trample, hand-neutral, scales-with-multiple, single-target-instant-sorcery","",94620,false,false,"Randy Vargas"
"Wojek Bodyguard",3,"Creature - Human Soldier",R,"grn","120",common,null,Owned,Non-foil,mainboard,false,,,"attack-trigger, attacking-matters, attacking-matters-self, gives-pp-counters, power-matters-self, repeatable-pp-counters, restricted-attacker, restricted-blocker","",69613,false,false,"Tyler Walpole"
"Charging Strifeknight",3,"Creature - Spirit Knight",R,"sos","110",uncommon,null,Owned,Non-foil,mainboard,false,,,"activated-ability, repeatable-rummage","",149719,false,false,"Antonio José Manzanedo"
"Harried Artisan",3,"Creature - Human Artificer",R,"mom","143",uncommon,null,Owned,Non-foil,mainboard,false,,,"activated-ability, cycle-mom-enemy-forward-dfc, evasion, french-vanilla, transform-improvement","",110136,false,false,"Caio Monteiro"
